date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,EFFR,DTB3,T10YIE,DGS10,GC=F,CL=F
2008-03-04,NTAP,22.0,22.549999237060547,21.93000030517578,17.590129852294922,9247200.0,1.0,0.0156407445735276,18.37344820292672,16.270193268936076,48.31800137026079,3.113182794575194,2.931231079582252,17.42010720570882,17.605745759121206,2.9,1.63,2.48,3.63,963.9000244140624,99.5199966430664
2008-03-05,NTAP,22.600000381469727,23.0,22.5,17.949420928955078,8306500.0,2.0,0.0502042427009961,18.4225263805376,16.25704419899121,50.16235654543805,50.23648271668411,8.975403520144178,17.468014017740884,17.613556558435615,2.93,1.5,2.54,3.7,986.2000122070312,104.5199966430664
2008-03-06,NTAP,23.0,23.15999984741211,22.34000015258789,17.519824981689453,8505900.0,3.0,0.0434174586365827,18.43491759805251,16.308703274445048,48.0417454120674,28.02684471300688,8.975403520144184,17.521388435363768,17.61147363450792,2.99,1.37,2.55,3.62,975.0,105.47000122070312
2008-03-07,NTAP,22.299999237060547,23.34000015258789,22.049999237060547,17.57449722290039,7876600.0,4.0,0.041850064640581,18.45373291443313,16.34143920470749,48.32932443567505,22.694352272949068,4.197597210845334,17.529199091593423,17.610669799472976,2.96,1.42,2.55,3.56,972.2000122070312,105.1500015258789
2008-03-10,NTAP,22.600000381469727,22.71999931335449,21.309999465942383,16.793413162231445,10076900.0,0.0,-0.0206148693618537,18.44657530741137,16.27283082051832,44.67488904173604,-66.38392490646014,6.932386844219664,17.510192743937175,17.59328136038273,2.99,1.33,2.56,3.46,969.9000244140624,107.9000015258789
2008-03-11,NTAP,21.899999618530277,22.239999771118164,21.149999618530277,17.340177536010742,13039700.0,1.0,-0.0266876794019843,18.446930432897293,16.27325751723698,47.547027416808014,-65.8833538857644,9.174695429689155,17.493789990743,17.588008364041645,2.95,1.45,2.55,3.6,974.2000122070312,108.75
2008-03-12,NTAP,21.809999465942383,22.270000457763672,21.299999237060547,16.684059143066406,10916700.0,2.0,-0.0823611930192775,18.45577635799919,16.25113282168831,44.66837966518649,-80.62681913548145,8.650006522242892,17.45030949910482,17.56956042075644,2.97,1.45,2.54,3.49,978.7999877929688,109.91999816894533
2008-03-13,NTAP,21.32999992370605,21.8700008392334,20.149999618530277,16.96525764465332,10636500.0,3.0,-0.1030357956910528,18.373654336394964,16.23015139633209,46.11478112824846,-125.58021954809452,23.679701055902903,17.411255073547363,17.557474365234373,2.98,1.33,2.51,3.56,992.2999877929688,110.33000183105467
2008-03-14,NTAP,21.8799991607666,22.18000030517578,20.84000015258789,16.465356826782227,9838200.0,4.0,-0.1571990216279566,18.403376633056364,16.15278238641385,43.9995501307407,-98.2981674584693,18.081476024053497,17.355537287394206,17.53606029585296,2.99,1.16,2.43,3.44,998.2000122070312,110.20999908447266
2008-03-17,NTAP,20.90999984741211,21.09000015258789,20.3700008392334,16.168546676635742,7497800.0,0.0,-0.2211021770878254,18.45724131223004,16.044241460597107,42.79390977804945,-165.12671671584,23.68020078730061,17.27534573872884,17.50976195702186,2.69,1.09,2.29,3.34,1001.4000244140624,105.68000030517578
2008-03-18,NTAP,20.979999542236328,21.209999084472656,20.1200008392334,16.277894973754883,8703300.0,1.0,-0.2600443856160659,18.487864641365785,15.976906629386171,43.38513984304628,-158.84461263263304,26.535116397965712,17.205828793843587,17.486519183752673,2.16,0.91,2.4,3.48,1003.2000122070312,109.41999816894533
2008-03-19,NTAP,21.0,21.09000015258789,19.450000762939453,15.22342014312744,14541300.0,2.0,-0.3704710243700155,18.689783008623824,15.622675506543413,39.33017093656391,-214.6026699493613,33.6459724093663,17.12693847020467,17.44460994225961,2.08,0.6,2.34,3.38,944.7000122070312,104.4800033569336
2008-03-20,NTAP,19.549999237060547,19.75,19.0,15.426506042480469,12925400.0,3.0,-0.4367564972220492,18.80074874629477,15.374237616162503,40.43927754534015,-241.1217595719888,37.9575213818981,17.07851126988729,17.40791714408181,2.22,0.62,2.32,3.34,919.5999755859376,101.83999633789062
2008-03-24,NTAP,19.770000457763672,20.940000534057617,19.76000022888184,16.324758529663086,10619400.0,0.0,-0.4129312752658727,18.78477762057757,15.29647838757062,45.03670804653559,-129.26745022176868,16.54960322091805,17.054037062327065,17.38857502596719,2.08,1.23,2.32,3.56,918.2999877929688,100.86000061035156
2008-03-25,NTAP,20.8700008392334,21.489999771118164,20.799999237060547,16.363813400268555,6187600.0,1.0,-0.3864740043056578,18.68841855318181,15.242086913279374,45.226869640755645,-67.68274504067506,8.250385975661395,17.014461739857992,17.370596751832124,2.42,1.27,2.26,3.51,934.5999755859376,101.22000122070312
2008-03-26,NTAP,20.809999465942383,20.90999984741211,20.540000915527344,16.184160232543945,4130600.0,2.0,-0.3755147369920557,18.54597029186379,15.19629207157005,44.494319136508686,-95.25568539968282,11.437151169496945,16.97618843714396,17.350140949775433,2.3,1.27,2.27,3.51,949.0,105.9000015258789
2008-03-27,NTAP,20.559999465942383,20.559999465942383,19.899999618530277,15.70769500732422,9763800.0,3.0,-0.4002754381335833,18.308754199037903,15.158564812650331,42.601181151496455,-130.16007384316822,18.853491687631355,16.939216709136964,17.322302882954226,2.27,1.28,2.33,3.56,948.7999877929688,107.58000183105467
2008-03-28,NTAP,20.299999237060547,20.600000381469727,20.049999237060547,15.715508460998535,5357700.0,4.0,-0.4144864482621813,18.215085983664665,15.060085105507698,42.6425813469166,-114.49576961554634,18.19222027497239,16.863190587361654,17.29552297592163,2.09,1.31,2.34,3.47,930.5999755859376,105.62000274658205
